ID;Jenis Kelamin;Marital status;Usia;Pendidikan;Pendapatan;Pekerjaan;Settlement size
100000414;Pria;Belum Menikah;40;SMA;104240;Tidak Bekerja;Small
100000415;Wanita;Menikah;35;SMA;108272;Amatir;Mid
100000416;Pria;Belum Menikah;35;SMA;144004;Amatir;Big
100000417;Pria;Belum Menikah;33;SMA;81083;Tidak Bekerja;Small
100000418;Wanita;Menikah;23;SMA;166763;Amatir;Mid
100000419;Wanita;Menikah;31;SMA;175530;Proffesional;Mid
100000420;Wanita;Menikah;33;SMA;112422;Amatir;Mid
100000421;Wanita;Menikah;20;SMA;154134;Amatir;Big
100000422;Pria;Belum Menikah;30;Unknown;112401;Amatir;Mid
100000423;Pria;Belum Menikah;47;SMA;85690;Tidak Bekerja;Small
100000424;Pria;Belum Menikah;34;SMA;145896;Proffesional;Big
100000425;Wanita;Menikah;25;SMA;122552;Amatir;Big
100000426;Pria;Menikah;21;SMA;115494;Amatir;Big
100000427;Pria;Belum Menikah;29;Unknown;109467;Amatir;Small
100000428;Pria;Belum Menikah;46;SMA;148226;Amatir;Big
100000429;Pria;Belum Menikah;20;Unknown;88559;Amatir;Mid
100000430;Wanita;Menikah;55;S1;62393;Tidak Bekerja;Small
100000431;Pria;Belum Menikah;74;S1;122133;Tidak Bekerja;Small
100000432;Pria;Belum Menikah;29;Unknown;230883;Proffesional;Big
100000433;Pria;Belum Menikah;36;SMA;136689;Proffesional;Big
100000434;Pria;Menikah;33;SMA;109145;Amatir;Small
100000435;Pria;Belum Menikah;25;Unknown;100449;Amatir;Big
100000436;Pria;Menikah;25;SMA;106253;Amatir;Small
100000437;Pria;Menikah;23;SMA;84747;Tidak Bekerja;Small
100000438;Wanita;Menikah;37;SMA;149465;Amatir;Mid
100000439;Pria;Belum Menikah;65;S1;84435;Tidak Bekerja;Small
100000440;Wanita;Menikah;26;SMA;51681;Tidak Bekerja;Small
100000441;Pria;Belum Menikah;39;SMA;139198;Proffesional;Mid
100000442;Wanita;Menikah;30;SMA;106577;Amatir;Mid
100000443;Pria;Belum Menikah;29;Unknown;117372;Amatir;Big
100000444;Pria;Belum Menikah;41;SMA;69609;Tidak Bekerja;Small
100000445;Wanita;Menikah;30;SMA;178947;Proffesional;Big
100000446;Wanita;Menikah;41;S1;81743;Tidak Bekerja;Small
100000447;Wanita;Menikah;34;SMA;111900;Amatir;Mid
100000448;Pria;Belum Menikah;35;SMA;121650;Amatir;Small
100000449;Wanita;Menikah;55;S1;172639;Proffesional;Big
100000450;Pria;Menikah;61;S1;175740;Amatir;Mid
100000451;Pria;Belum Menikah;30;Unknown;220050;Proffesional;Big
100000452;Wanita;Menikah;29;SMA;95200;Amatir;Mid
100000453;Pria;Belum Menikah;34;SMA;113609;Amatir;Mid
100000454;Pria;Belum Menikah;35;SMA;143552;Proffesional;Big
100000455;Pria;Belum Menikah;31;Unknown;130973;Amatir;Big
100000456;Wanita;Menikah;29;SMA;145946;Proffesional;Big
100000457;Pria;Belum Menikah;36;SMA;126206;Amatir;Mid
100000458;Pria;Belum Menikah;35;SMA;120426;Amatir;Small
100000459;Wanita;Menikah;27;SMA;91925;Amatir;Big
100000460;Pria;Belum Menikah;32;Unknown;129630;Amatir;Big
100000461;Pria;Belum Menikah;37;SMA;124268;Amatir;Big
100000462;Pria;Belum Menikah;36;SMA;105240;Amatir;Mid
100000463;Wanita;Menikah;34;SMA;162180;Proffesional;Small
100000464;Pria;Belum Menikah;38;SMA;106552;Amatir;Big
100000465;Pria;Belum Menikah;34;SMA;105843;Amatir;Big
100000466;Pria;Belum Menikah;63;S1;138327;Amatir;Mid
100000467;Wanita;Menikah;29;SMA;76154;Tidak Bekerja;Small
100000468;Pria;Belum Menikah;32;Unknown;155012;Amatir;Mid
100000469;Wanita;Menikah;26;SMA;114369;Amatir;Mid
100000470;Pria;Belum Menikah;35;SMA;102839;Tidak Bekerja;Small
100000471;Pria;Menikah;22;SMA;132796;Amatir;Small
100000472;Wanita;Menikah;23;SMA;89742;Amatir;Big
100000473;Pria;Belum Menikah;28;Unknown;58615;Tidak Bekerja;Small
100000474;Pria;Belum Menikah;36;SMA;130603;Proffesional;Big
100000475;Pria;Menikah;33;SMA;110340;Amatir;Small
100000476;Wanita;Menikah;26;SMA;117729;Amatir;Big
100000477;Pria;Belum Menikah;24;Unknown;130808;Amatir;Small
100000478;Pria;Belum Menikah;25;Unknown;147402;Amatir;Big
100000479;Pria;Belum Menikah;39;SMA;93567;Tidak Bekerja;Small
100000480;Pria;Belum Menikah;44;SMA;109289;Amatir;Mid
100000481;Wanita;Menikah;23;SMA;98742;Tidak Bekerja;Small
100000482;Pria;Belum Menikah;26;Unknown;101270;Amatir;Small
100000483;Wanita;Menikah;57;S1;187835;Amatir;Mid
100000484;Wanita;Menikah;30;SMA;140741;Amatir;Small
100000485;Pria;Belum Menikah;44;SMA;133265;Amatir;Big
100000486;Pria;Belum Menikah;47;SMA;148100;Proffesional;Big
100000487;Pria;Belum Menikah;52;SMA;131021;Amatir;Big
100000488;Wanita;Menikah;62;S1;152620;Amatir;Big
100000489;Pria;Belum Menikah;35;SMA;85033;Tidak Bekerja;Small
100000490;Pria;Belum Menikah;26;Unknown;114514;Amatir;Mid
100000491;Pria;Belum Menikah;26;Unknown;99307;Amatir;Mid
100000492;Wanita;Menikah;42;S1;219451;Proffesional;Big
100000493;Wanita;Menikah;27;SMA;114007;Amatir;Small
100000494;Pria;Belum Menikah;38;SMA;102846;Amatir;Small
100000495;Pria;Belum Menikah;39;SMA;81483;Tidak Bekerja;Small
100000496;Pria;Menikah;20;SMA;107779;Amatir;Big
100000497;Pria;Belum Menikah;29;Unknown;222360;Proffesional;Big
100000498;Pria;Belum Menikah;40;SMA;107125;Amatir;Small
100000499;Pria;Menikah;32;SMA;80080;Tidak Bekerja;Small
100000500;Pria;Menikah;28;SMA;129600;Amatir;Small
100000501;Wanita;Menikah;27;SMA;118613;Amatir;Mid
100000502;Pria;Belum Menikah;42;SMA;146237;Amatir;Mid
100000503;Pria;Menikah;49;S1;144461;Amatir;Big
100000504;Pria;Belum Menikah;38;SMA;124487;Amatir;Small
100000505;Wanita;Menikah;24;SMA;97826;Amatir;Small
100000506;Pria;Belum Menikah;27;Unknown;64105;Tidak Bekerja;Small
100000507;Pria;Belum Menikah;36;SMA;156374;Amatir;Big
100000508;Pria;Belum Menikah;34;SMA;205383;Proffesional;Big
100000509;Pria;Menikah;28;SMA;98964;Amatir;Big
100000510;Pria;Belum Menikah;45;SMA;221842;Proffesional;Big
100000511;Pria;Belum Menikah;26;Unknown;88027;Amatir;Big
100000512;Pria;Belum Menikah;32;Unknown;160513;Proffesional;Big
100000513;Pria;Belum Menikah;26;Unknown;124536;Amatir;Big
100000514;Pria;Menikah;20;SMA;93634;Amatir;Small
100000515;Pria;Belum Menikah;54;SMA;124725;Amatir;Small
100000516;Wanita;Menikah;37;SMA;102456;Amatir;Small
100000517;Pria;Belum Menikah;40;SMA;74975;Tidak Bekerja;Small
100000518;Wanita;Menikah;23;SMA;153861;Amatir;Mid
100000519;Pria;Belum Menikah;43;SMA;119351;Amatir;Big
100000520;Pria;Belum Menikah;36;SMA;95438;Amatir;Big
100000521;Pria;Belum Menikah;44;SMA;147967;Amatir;Big
100000522;Wanita;Menikah;24;SMA;116863;Amatir;Mid
100000523;Pria;Belum Menikah;53;SMA;170622;Amatir;Mid
100000524;Wanita;Menikah;23;SMA;132426;Amatir;Mid
100000525;Wanita;Menikah;26;SMA;77519;Tidak Bekerja;Small
100000526;Pria;Belum Menikah;30;Unknown;169405;Amatir;Big
100000527;Wanita;Menikah;31;SMA;120030;Amatir;Small
100000528;Pria;Belum Menikah;42;SMA;77933;Tidak Bekerja;Small
100000529;Pria;Menikah;31;SMA;109892;Amatir;Mid
100000530;Pria;Belum Menikah;41;SMA;69062;Tidak Bekerja;Small
100000531;Pria;Belum Menikah;32;Unknown;116348;Amatir;Small
100000532;Wanita;Menikah;28;SMA;137188;Amatir;Mid
100000533;Pria;Menikah;41;SMA;110199;Amatir;Small
100000534;Pria;Menikah;26;SMA;109890;Amatir;Mid
100000535;Pria;Belum Menikah;25;Unknown;109751;Amatir;Big
100000536;Pria;Menikah;33;SMA;129651;Amatir;Mid
100000537;Wanita;Menikah;75;S2;170113;Proffesional;Mid
100000538;Wanita;Menikah;37;SMA;140285;Amatir;Mid
100000539;Pria;Belum Menikah;42;SMA;198029;Proffesional;Big
100000540;Wanita;Menikah;45;S1;120262;Tidak Bekerja;Small
100000541;Pria;Menikah;23;SMA;105137;Amatir;Mid
100000542;Pria;Belum Menikah;60;S1;127371;Amatir;Small
100000543;Pria;Belum Menikah;31;Unknown;145689;Amatir;Small
100000544;Pria;Belum Menikah;34;SMA;102617;Tidak Bekerja;Mid
100000545;Pria;Belum Menikah;61;S1;90709;Tidak Bekerja;Small
100000546;Pria;Belum Menikah;43;SMA;107099;Amatir;Mid
100000547;Wanita;Menikah;37;SMA;116021;Amatir;Big
100000548;Pria;Belum Menikah;32;Unknown;100426;Amatir;Big
100000549;Wanita;Menikah;24;SMA;62249;Tidak Bekerja;Small
100000550;Pria;Belum Menikah;35;SMA;172957;Amatir;Mid
100000551;Wanita;Menikah;23;SMA;95003;Amatir;Mid
100000552;Pria;Belum Menikah;45;SMA;109698;Tidak Bekerja;Small
100000553;Pria;Menikah;34;SMA;157376;Amatir;Small
100000554;Pria;Belum Menikah;27;Unknown;123191;Amatir;Big
100000555;Wanita;Menikah;67;S2;171052;Proffesional;Small
100000556;Pria;Belum Menikah;22;Unknown;99328;Amatir;Small
100000557;Wanita;Menikah;28;SMA;133799;Amatir;Big
100000558;Wanita;Menikah;29;SMA;138256;Amatir;Big
100000559;Pria;Belum Menikah;27;Unknown;115638;Amatir;Small
100000560;Pria;Belum Menikah;31;Unknown;82238;Tidak Bekerja;Small
100000561;Pria;Belum Menikah;49;SMA;127543;Amatir;Mid
100000562;Pria;Belum Menikah;24;Unknown;63987;Tidak Bekerja;Small
100000563;Wanita;Menikah;29;SMA;114784;Amatir;Small
100000564;Pria;Belum Menikah;37;SMA;217450;Amatir;Mid
100000565;Pria;Belum Menikah;37;SMA;173751;Proffesional;Big
100000566;Wanita;Menikah;23;SMA;122850;Amatir;Small
100000567;Pria;Menikah;36;SMA;104953;Amatir;Small
100000568;Pria;Belum Menikah;34;SMA;152371;Amatir;Mid
100000569;Pria;Belum Menikah;41;SMA;139905;Amatir;Small
100000570;Wanita;Menikah;31;SMA;156700;Amatir;Mid
100000571;Wanita;Menikah;23;SMA;86488;Tidak Bekerja;Small
100000572;Pria;Belum Menikah;38;SMA;147472;Amatir;Small
100000573;Wanita;Menikah;26;SMA;169991;Proffesional;Small
100000574;Wanita;Menikah;22;SMA;62381;Tidak Bekerja;Small
100000575;Pria;Belum Menikah;27;Unknown;70926;Tidak Bekerja;Small
100000576;Wanita;Menikah;24;SMA;113004;Amatir;Mid
100000577;Wanita;Menikah;27;SMA;125760;Amatir;Small
100000578;Wanita;Menikah;33;SMA;111918;Amatir;Big
100000579;Pria;Menikah;27;SMA;120674;Amatir;Mid
100000580;Pria;Menikah;27;SMA;63597;Tidak Bekerja;Small
100000581;Pria;Belum Menikah;30;Unknown;103069;Amatir;Mid
100000582;Pria;Belum Menikah;49;SMA;108079;Tidak Bekerja;Small
100000583;Wanita;Menikah;26;SMA;101159;Amatir;Mid
100000584;Pria;Belum Menikah;33;SMA;88211;Tidak Bekerja;Small
100000585;Wanita;Menikah;52;S1;159052;Proffesional;Mid
100000586;Wanita;Menikah;20;SMA;102623;Amatir;Big
100000587;Pria;Belum Menikah;36;SMA;115589;Amatir;Small
100000588;Pria;Belum Menikah;21;Unknown;59127;Tidak Bekerja;Small
100000589;Pria;Menikah;47;S1;82240;Tidak Bekerja;Small
100000590;Pria;Belum Menikah;60;S1;129425;Amatir;Mid
100000591;Wanita;Menikah;58;S1;87058;Tidak Bekerja;Small
100000592;Wanita;Menikah;42;S1;128462;Amatir;Big
100000593;Wanita;Menikah;36;SMA;121403;Tidak Bekerja;Small
100000594;Wanita;Menikah;20;SMA;88141;Tidak Bekerja;Small
100000595;Pria;Belum Menikah;40;SMA;134946;Proffesional;Big
100000596;Wanita;Menikah;32;SMA;94058;Tidak Bekerja;Small
100000597;Wanita;Menikah;23;SMA;99285;Amatir;Mid
100000598;Pria;Belum Menikah;36;SMA;108432;Tidak Bekerja;Small
100000599;Pria;Belum Menikah;31;Unknown;111369;Amatir;Small
100000600;Pria;Belum Menikah;32;Unknown;122612;Amatir;Big
100000601;Wanita;Menikah;45;S1;134350;Amatir;Small
100000602;Wanita;Menikah;30;SMA;108838;Amatir;Big
100000603;Wanita;Menikah;34;SMA;90852;Tidak Bekerja;Small
100000604;Wanita;Menikah;28;SMA;151580;Proffesional;Big
100000605;Wanita;Menikah;23;SMA;115681;Amatir;Mid
100000606;Pria;Belum Menikah;22;Unknown;131699;Amatir;Mid
100000607;Pria;Belum Menikah;74;S1;192481;Proffesional;Mid
100000608;Wanita;Menikah;50;S1;155122;Amatir;Big
100000609;Pria;Belum Menikah;33;SMA;106015;Amatir;Big
100000610;Pria;Belum Menikah;45;SMA;108378;Amatir;Small
100000611;Wanita;Menikah;22;SMA;105257;Amatir;Mid
100000612;Wanita;Menikah;48;S1;118788;Tidak Bekerja;Small
100000613;Wanita;Menikah;29;SMA;162955;Amatir;Big
100000614;Wanita;Menikah;22;SMA;119511;Amatir;Big
100000615;Wanita;Menikah;22;SMA;102000;Amatir;Small
100000616;Pria;Belum Menikah;48;SMA;254449;Proffesional;Mid
100000617;Pria;Belum Menikah;27;Unknown;208446;Proffesional;Big
100000618;Pria;Belum Menikah;37;SMA;124805;Amatir;Small
100000619;Wanita;Menikah;21;SMA;139379;Amatir;Small
100000620;Pria;Menikah;49;S1;78296;Tidak Bekerja;Small
100000621;Pria;Belum Menikah;27;Unknown;125598;Amatir;Mid
100000622;Pria;Belum Menikah;32;Unknown;100215;Amatir;Big
100000623;Pria;Menikah;38;SMA;130951;Amatir;Big
100000624;Wanita;Menikah;22;SMA;102480;Amatir;Big
100000625;Pria;Belum Menikah;65;S1;136812;Amatir;Mid
100000626;Pria;Belum Menikah;35;SMA;106919;Amatir;Mid
100000627;Pria;Belum Menikah;41;SMA;131020;Amatir;Big
100000628;Pria;Belum Menikah;29;Unknown;119429;Amatir;Mid
100000629;Pria;Belum Menikah;36;SMA;154521;Amatir;Mid
100000630;Pria;Belum Menikah;64;S1;117842;Tidak Bekerja;Small
100000631;Wanita;Menikah;28;SMA;124566;Amatir;Big
100000632;Pria;Belum Menikah;44;SMA;110009;Amatir;Big
100000633;Pria;Belum Menikah;23;Unknown;101210;Amatir;Mid
100000634;Wanita;Menikah;19;SMA;101258;Amatir;Small
100000635;Wanita;Menikah;25;SMA;79045;Tidak Bekerja;Small
100000636;Pria;Belum Menikah;47;SMA;110866;Amatir;Small
100000637;Wanita;Menikah;28;SMA;129640;Amatir;Big
100000638;Pria;Belum Menikah;21;Unknown;227021;Amatir;Mid
100000639;Wanita;Menikah;34;SMA;108549;Amatir;Mid
100000640;Pria;Belum Menikah;26;Unknown;122693;Amatir;Small
100000641;Wanita;Menikah;27;SMA;35832;Tidak Bekerja;Small
100000642;Pria;Belum Menikah;38;SMA;81870;Tidak Bekerja;Small
100000643;Pria;Belum Menikah;40;SMA;179790;Proffesional;Big
100000644;Pria;Menikah;33;SMA;107158;Amatir;Mid
100000645;Pria;Menikah;32;SMA;136638;Proffesional;Mid
100000646;Pria;Belum Menikah;27;Unknown;158147;Amatir;Big
100000647;Pria;Menikah;32;SMA;132587;Amatir;Big
100000648;Wanita;Menikah;26;SMA;128140;Amatir;Big
100000649;Pria;Belum Menikah;38;SMA;117405;Amatir;Mid
100000650;Pria;Belum Menikah;40;SMA;68475;Tidak Bekerja;Small
100000651;Pria;Belum Menikah;50;SMA;201656;Proffesional;Big
100000652;Pria;Belum Menikah;37;SMA;86967;Tidak Bekerja;Small
100000653;Pria;Belum Menikah;45;SMA;118006;Amatir;Mid
100000654;Pria;Belum Menikah;42;SMA;223630;Proffesional;Big
100000655;Pria;Belum Menikah;35;SMA;110442;Amatir;Small
100000656;Pria;Belum Menikah;22;Unknown;115691;Amatir;Big
100000657;Pria;Belum Menikah;41;SMA;80232;Tidak Bekerja;Small
100000658;Pria;Belum Menikah;37;SMA;187647;Amatir;Mid
100000659;Wanita;Menikah;28;SMA;138952;Amatir;Mid
100000660;Pria;Belum Menikah;41;SMA;162772;Amatir;Big
100000661;Pria;Menikah;23;SMA;111862;Amatir;Mid
100000662;Pria;Menikah;23;SMA;90051;Amatir;Mid
100000663;Pria;Belum Menikah;50;SMA;121400;Amatir;Mid
100000664;Pria;Belum Menikah;35;SMA;137000;Proffesional;Big
100000665;Wanita;Menikah;50;S1;105031;Tidak Bekerja;Small
100000666;Pria;Belum Menikah;27;Unknown;172153;Proffesional;Big
100000667;Pria;Belum Menikah;34;SMA;170184;Amatir;Mid
100000668;Wanita;Menikah;27;SMA;123279;Amatir;Mid
100000669;Pria;Belum Menikah;43;SMA;140795;Amatir;Small
100000670;Pria;Belum Menikah;47;SMA;144456;Amatir;Small
100000671;Pria;Belum Menikah;27;Unknown;104773;Tidak Bekerja;Small
100000672;Pria;Belum Menikah;31;Unknown;153353;Amatir;Mid
100000673;Pria;Belum Menikah;42;SMA;223018;Proffesional;Mid
100000674;Pria;Menikah;24;SMA;129177;Amatir;Big
100000675;Pria;Belum Menikah;41;SMA;114475;Tidak Bekerja;Mid
100000676;Wanita;Menikah;26;SMA;161323;Proffesional;Mid
100000677;Pria;Belum Menikah;33;SMA;135765;Amatir;Big
100000678;Pria;Menikah;24;SMA;158421;Amatir;Small
100000679;Pria;Belum Menikah;64;S1;103941;Tidak Bekerja;Small
100000680;Wanita;Menikah;26;SMA;101783;Amatir;Big
100000681;Wanita;Menikah;56;S1;126531;Amatir;Mid
100000682;Pria;Belum Menikah;37;SMA;111394;Amatir;Mid
100000683;Pria;Menikah;33;SMA;103577;Amatir;Big
100000684;Pria;Menikah;47;S1;149545;Amatir;Mid
100000685;Pria;Belum Menikah;31;Unknown;171857;Tidak Bekerja;Small
100000686;Pria;Belum Menikah;34;SMA;149782;Amatir;Mid
100000687;Pria;Belum Menikah;27;Unknown;112470;Amatir;Mid
100000688;Pria;Belum Menikah;30;Unknown;133907;Amatir;Big
100000689;Pria;Belum Menikah;35;SMA;127849;Amatir;Mid
100000690;Pria;Belum Menikah;31;Unknown;160279;Amatir;Big
100000691;Pria;Menikah;25;SMA;92366;Amatir;Big
100000692;Wanita;Menikah;25;SMA;104794;Tidak Bekerja;Small
100000693;Pria;Belum Menikah;29;Unknown;133436;Amatir;Mid
100000694;Pria;Belum Menikah;44;SMA;110374;Tidak Bekerja;Small
100000695;Pria;Belum Menikah;28;Unknown;104263;Amatir;Mid
100000696;Pria;Belum Menikah;50;SMA;138752;Amatir;Small
100000697;Pria;Belum Menikah;29;Unknown;102723;Amatir;Small
100000698;Wanita;Menikah;38;SMA;46297;Tidak Bekerja;Small
100000699;Pria;Belum Menikah;24;Unknown;96425;Amatir;Mid
100000700;Pria;Belum Menikah;40;SMA;158197;Proffesional;Mid
100000701;Wanita;Menikah;29;SMA;98008;Tidak Bekerja;Small
100000702;Pria;Belum Menikah;46;SMA;157473;Amatir;Small
100000703;Wanita;Menikah;47;S1;149306;Amatir;Small
100000704;Pria;Belum Menikah;41;SMA;139236;Amatir;Mid
100000705;Wanita;Menikah;32;SMA;125890;Amatir;Big
100000706;Wanita;Menikah;35;SMA;173124;Amatir;Mid
100000707;Pria;Belum Menikah;24;Unknown;164621;Amatir;Mid
100000708;Wanita;Menikah;25;SMA;124539;Amatir;Mid
100000709;Wanita;Menikah;25;SMA;107614;Amatir;Mid
100000710;Pria;Belum Menikah;37;SMA;88849;Tidak Bekerja;Small
100000711;Pria;Belum Menikah;32;Unknown;148566;Proffesional;Big
100000712;Wanita;Menikah;35;SMA;106515;Amatir;Big
100000713;Pria;Belum Menikah;46;SMA;150465;Proffesional;Mid
100000714;Pria;Belum Menikah;25;Unknown;60868;Tidak Bekerja;Small
100000715;Pria;Belum Menikah;27;Unknown;255198;Proffesional;Big
100000716;Pria;Belum Menikah;63;S1;183178;Amatir;Mid
100000717;Pria;Belum Menikah;40;SMA;121448;Amatir;Big
100000718;Pria;Belum Menikah;32;Unknown;129975;Proffesional;Big
100000719;Pria;Belum Menikah;31;Unknown;132950;Amatir;Big
100000720;Pria;Menikah;31;SMA;169314;Amatir;Mid
100000721;Pria;Belum Menikah;34;SMA;147958;Proffesional;Mid
100000722;Wanita;Menikah;24;SMA;139896;Amatir;Big
100000723;Wanita;Menikah;24;SMA;68028;Tidak Bekerja;Small
100000724;Wanita;Menikah;66;S2;133328;Tidak Bekerja;Small
100000725;Wanita;Menikah;21;SMA;108518;Amatir;Big
100000726;Wanita;Menikah;41;S1;112700;Tidak Bekerja;Small
100000727;Pria;Menikah;47;S1;110190;Tidak Bekerja;Small
100000728;Wanita;Menikah;25;SMA;105104;Amatir;Mid
100000729;Wanita;Menikah;59;S1;184753;Amatir;Mid
100000730;Pria;Menikah;36;SMA;162521;Amatir;Big
100000731;Pria;Belum Menikah;33;SMA;156794;Amatir;Mid
100000732;Pria;Belum Menikah;21;Unknown;65827;Tidak Bekerja;Small
100000733;Wanita;Menikah;44;S1;88490;Tidak Bekerja;Small
100000734;Wanita;Menikah;28;SMA;154919;Amatir;Big
100000735;Wanita;Menikah;37;SMA;129058;Amatir;Small
100000736;Wanita;Menikah;29;SMA;77532;Tidak Bekerja;Small
100000737;Wanita;Menikah;23;SMA;235417;Proffesional;Big
100000738;Pria;Belum Menikah;35;SMA;113468;Tidak Bekerja;Small
100000739;Pria;Belum Menikah;45;SMA;190803;Proffesional;Big
100000740;Wanita;Menikah;26;SMA;121423;Tidak Bekerja;Small
100000741;Pria;Belum Menikah;32;Unknown;121347;Amatir;Mid
100000742;Pria;Belum Menikah;23;Unknown;67408;Tidak Bekerja;Small
100000743;Pria;Belum Menikah;41;SMA;123043;Amatir;Mid
100000744;Pria;Belum Menikah;22;Unknown;128387;Amatir;Big
100000745;Pria;Belum Menikah;30;Unknown;250050;Proffesional;Mid
100000746;Pria;Belum Menikah;28;Unknown;69588;Tidak Bekerja;Small
100000747;Wanita;Menikah;23;SMA;109547;Amatir;Mid
100000748;Wanita;Menikah;37;SMA;78840;Tidak Bekerja;Small
100000749;Pria;Belum Menikah;26;Unknown;131122;Amatir;Small
100000750;Pria;Belum Menikah;33;SMA;115403;Amatir;Mid
100000751;Wanita;Menikah;49;S1;110291;Amatir;Big
100000752;Wanita;Menikah;23;SMA;64811;Tidak Bekerja;Small
100000753;Wanita;Menikah;23;SMA;86015;Tidak Bekerja;Small
100000754;Wanita;Menikah;25;SMA;142438;Amatir;Big
100000755;Pria;Belum Menikah;55;SMA;159303;Amatir;Mid
100000756;Wanita;Menikah;32;SMA;104957;Amatir;Mid
100000757;Pria;Belum Menikah;74;S1;89502;Tidak Bekerja;Small
100000758;Pria;Belum Menikah;39;SMA;121313;Amatir;Mid
100000759;Pria;Belum Menikah;31;Unknown;98102;Amatir;Small
100000760;Pria;Belum Menikah;35;SMA;94554;Amatir;Mid
100000761;Wanita;Menikah;59;S1;162591;Amatir;Mid
100000762;Wanita;Menikah;24;SMA;106629;Amatir;Big
100000763;Pria;Belum Menikah;24;Unknown;70400;Tidak Bekerja;Small
100000764;Pria;Belum Menikah;30;Unknown;235660;Proffesional;Big
100000765;Pria;Menikah;27;SMA;121747;Amatir;Big
100000766;Pria;Menikah;40;SMA;85060;Tidak Bekerja;Small
100000767;Pria;Menikah;31;SMA;87630;Tidak Bekerja;Small
100000768;Wanita;Menikah;31;SMA;119673;Amatir;Small
100000769;Pria;Belum Menikah;28;Unknown;126060;Amatir;Big
100000770;Pria;Belum Menikah;63;S1;96145;Tidak Bekerja;Small
100000771;Wanita;Menikah;26;SMA;114830;Amatir;Small
100000772;Wanita;Menikah;25;SMA;194461;Proffesional;Big
100000773;Pria;Belum Menikah;36;SMA;150158;Proffesional;Big
100000774;Pria;Belum Menikah;52;SMA;136323;Amatir;Big
100000775;Pria;Belum Menikah;66;S1;111858;Tidak Bekerja;Small
100000776;Wanita;Menikah;25;SMA;100198;Amatir;Small
100000777;Pria;Belum Menikah;37;SMA;123452;Amatir;Big
100000778;Wanita;Menikah;25;SMA;120723;Amatir;Mid
100000779;Pria;Belum Menikah;38;SMA;215639;Proffesional;Mid
100000780;Wanita;Menikah;67;S2;166712;Amatir;Mid
100000781;Pria;Belum Menikah;25;Unknown;136300;Amatir;Mid
100000782;Pria;Belum Menikah;60;S1;166988;Amatir;Big
100000783;Pria;Belum Menikah;31;Unknown;77265;Tidak Bekerja;Small
100000784;Wanita;Menikah;23;SMA;85967;Tidak Bekerja;Small
100000785;Pria;Menikah;60;S1;212020;Proffesional;Small
100000786;Pria;Belum Menikah;35;SMA;126054;Tidak Bekerja;Small
100000787;Pria;Belum Menikah;40;SMA;144589;Amatir;Small
100000788;Pria;Belum Menikah;38;SMA;116723;Amatir;Mid
100000789;Pria;Belum Menikah;50;SMA;168637;Amatir;Mid
100000790;Pria;Belum Menikah;27;Unknown;139119;Amatir;Mid
100000791;Wanita;Menikah;39;S1;118610;Amatir;Big
100000792;Pria;Belum Menikah;41;SMA;183312;Proffesional;Big
100000793;Pria;Menikah;27;SMA;96323;Amatir;Small
100000794;Pria;Menikah;51;S1;149510;Amatir;Big
100000795;Pria;Belum Menikah;32;Unknown;141922;Amatir;Big
100000796;Wanita;Menikah;22;SMA;120233;Amatir;Small
100000797;Pria;Belum Menikah;51;SMA;172790;Amatir;Mid
100000798;Wanita;Menikah;22;SMA;66720;Tidak Bekerja;Small
100000799;Pria;Menikah;54;S1;113024;Amatir;Mid
100000800;Pria;Belum Menikah;35;SMA;51791;Tidak Bekerja;Small
100000801;Pria;Belum Menikah;54;SMA;118408;Amatir;Big
100000802;Wanita;Menikah;48;S1;101616;Tidak Bekerja;Small
100000803;Wanita;Menikah;24;SMA;127250;Amatir;Small
100000804;Pria;Belum Menikah;35;SMA;97290;Amatir;Small
100000805;Wanita;Menikah;24;SMA;106970;Tidak Bekerja;Small
100000806;Pria;Belum Menikah;24;Unknown;168147;Amatir;Big
100000807;Pria;Menikah;26;SMA;68468;Tidak Bekerja;Small
100000808;Pria;Belum Menikah;65;S1;120780;Amatir;Big
100000809;Pria;Belum Menikah;55;SMA;231992;Proffesional;Big
100000810;Wanita;Menikah;26;SMA;53903;Tidak Bekerja;Small
100000811;Pria;Menikah;26;SMA;101511;Amatir;Big
100000812;Pria;Menikah;28;SMA;69046;Tidak Bekerja;Small
100000813;Pria;Belum Menikah;24;Unknown;171584;Amatir;Mid
100000814;Pria;Belum Menikah;54;SMA;132367;Amatir;Big
100000815;Pria;Belum Menikah;46;SMA;134433;Amatir;Big
100000816;Wanita;Menikah;54;S1;190518;Amatir;Small
100000817;Pria;Menikah;62;S1;152367;Amatir;Mid
100000818;Wanita;Menikah;24;SMA;101157;Amatir;Mid
100000819;Pria;Menikah;43;S1;279593;Proffesional;Big
100000820;Pria;Menikah;26;SMA;96716;Amatir;Big
100000821;Pria;Menikah;27;SMA;95171;Amatir;Small
100000822;Pria;Menikah;24;SMA;129162;Amatir;Big
100000823;Pria;Belum Menikah;41;SMA;118742;Amatir;Small
100000824;Pria;Belum Menikah;47;SMA;74511;Tidak Bekerja;Small
100000825;Pria;Menikah;35;SMA;157272;Proffesional;Mid
100000826;Pria;Menikah;30;SMA;102374;Amatir;Small
100000827;Wanita;Menikah;33;SMA;131492;Amatir;Small
100000828;Pria;Belum Menikah;36;SMA;128702;Amatir;Big
